split;label;stem;recording;source_csv
test;Cars;00016;Cars/13-13;Cars/13-13/016.csv
test;Cars;00020;Cars/13-13;Cars/13-13/020.csv
test;Cars;00030;Cars/13-13;Cars/13-13/030.csv
test;Cars;00031;Cars/13-13;Cars/13-13/031.csv
test;Cars;00034;Cars/13-13;Cars/13-13/034.csv
test;Cars;00038;Cars/13-13;Cars/13-13/038.csv
test;Cars;00045;Cars/13-13;Cars/13-13/045.csv
test;Cars;00052;Cars/13-13;Cars/13-13/052.csv
test;Cars;00062;Cars/13-13;Cars/13-13/062.csv
test;Cars;00063;Cars/13-13;Cars/13-13/063.csv
test;Cars;00072;Cars/13-13;Cars/13-13/072.csv
test;Cars;00076;Cars/13-13;Cars/13-13/076.csv
test;Cars;00080;Cars/13-13;Cars/13-13/080.csv
test;Cars;00081;Cars/13-13;Cars/13-13/081.csv
test;Cars;00085;Cars/13-13;Cars/13-13/085.csv
test;Cars;00091;Cars/13-13;Cars/13-13/091.csv
test;Cars;00096;Cars/13-13;Cars/13-13/096.csv
test;Cars;00100;Cars/13-13;Cars/13-13/100.csv
test;Cars;00103;Cars/13-13;Cars/13-13/103.csv
test;Cars;00104;Cars/13-13;Cars/13-13/104.csv
test;Cars;00107;Cars/13-13;Cars/13-13/107.csv
test;Cars;00108;Cars/13-13;Cars/13-13/108.csv
test;Cars;00110;Cars/13-13;Cars/13-13/110.csv
test;Cars;00111;Cars/13-13;Cars/13-13/111.csv
test;Cars;00123;Cars/13-13;Cars/13-13/123.csv
test;Cars;00135;Cars/13-13;Cars/13-13/135.csv
test;Cars;00136;Cars/13-13;Cars/13-13/136.csv
test;Cars;00140;Cars/13-13;Cars/13-13/140.csv
test;Cars;00145;Cars/13-13;Cars/13-13/145.csv
test;Cars;00150;Cars/13-13;Cars/13-13/150.csv
test;Cars;00151;Cars/13-13;Cars/13-13/151.csv
test;Cars;00152;Cars/13-13;Cars/13-13/152.csv
test;Cars;00157;Cars/13-13;Cars/13-13/157.csv
test;Cars;00158;Cars/13-13;Cars/13-13/158.csv
test;Cars;00167;Cars/13-13;Cars/13-13/167.csv
test;Cars;00169;Cars/13-13;Cars/13-13/169.csv
test;Cars;00175;Cars/13-13;Cars/13-13/175.csv
test;Cars;00178;Cars/13-13;Cars/13-13/178.csv
test;Cars;00184;Cars/13-13;Cars/13-13/184.csv
test;Cars;00185;Cars/13-13;Cars/13-13/185.csv
test;Cars;00193;Cars/13-13;Cars/13-13/193.csv
test;Cars;00196;Cars/13-13;Cars/13-13/196.csv
test;Cars;00197;Cars/13-13;Cars/13-13/197.csv
test;Cars;00200;Cars/13-13;Cars/13-13/200.csv
test;Cars;00204;Cars/13-13;Cars/13-13/204.csv
test;Cars;00211;Cars/13-13;Cars/13-13/211.csv
test;Cars;00215;Cars/13-13;Cars/13-13/215.csv
test;Cars;00218;Cars/13-13;Cars/13-13/218.csv
test;Cars;00222;Cars/13-13;Cars/13-13/222.csv
test;Cars;00231;Cars/13-13;Cars/13-13/231.csv
test;Cars;00240;Cars/13-13;Cars/13-13/240.csv
test;Cars;00241;Cars/13-13;Cars/13-13/241.csv
test;Cars;00249;Cars/13-13;Cars/13-13/249.csv
test;Cars;00252;Cars/13-13;Cars/13-13/252.csv
test;Cars;00255;Cars/13-13;Cars/13-13/255.csv
test;Cars;00258;Cars/13-13;Cars/13-13/258.csv
test;Cars;00260;Cars/13-13;Cars/13-13/260.csv
test;Cars;00275;Cars/13-13;Cars/13-13/275.csv
test;Cars;00284;Cars/13-13;Cars/13-13/284.csv
test;Cars;00291;Cars/13-13;Cars/13-13/291.csv
test;Cars;00292;Cars/13-13;Cars/13-13/292.csv
test;Cars;00294;Cars/13-13;Cars/13-13/294.csv
test;Cars;00297;Cars/13-13;Cars/13-13/297.csv
test;Cars;00299;Cars/13-13;Cars/13-13/299.csv
test;Cars;00313;Cars/13-13;Cars/13-13/313.csv
test;Cars;00316;Cars/13-13;Cars/13-13/316.csv
test;Cars;00319;Cars/13-13;Cars/13-13/319.csv
test;Cars;00320;Cars/13-13;Cars/13-13/320.csv
test;Cars;00335;Cars/13-13;Cars/13-13/335.csv
test;Cars;00347;Cars/13-13p;Cars/13-13p/010.csv
test;Cars;00352;Cars/13-13p;Cars/13-13p/015.csv
test;Cars;00368;Cars/13-13p;Cars/13-13p/031.csv
test;Cars;00369;Cars/13-13p;Cars/13-13p/032.csv
test;Cars;00372;Cars/13-13p;Cars/13-13p/035.csv
test;Cars;00374;Cars/13-13p;Cars/13-13p/037.csv
test;Cars;00377;Cars/13-13p;Cars/13-13p/040.csv
test;Cars;00388;Cars/13-13p;Cars/13-13p/051.csv
test;Cars;00412;Cars/13-13p;Cars/13-13p/075.csv
test;Cars;00416;Cars/13-13p;Cars/13-13p/079.csv
test;Cars;00423;Cars/13-13p;Cars/13-13p/086.csv
test;Cars;00429;Cars/13-13p;Cars/13-13p/092.csv
test;Cars;00444;Cars/13-13p;Cars/13-13p/107.csv
test;Cars;00448;Cars/13-13p;Cars/13-13p/111.csv
test;Cars;00452;Cars/13-13p;Cars/13-13p/115.csv
test;Cars;00458;Cars/13-13p;Cars/13-13p/121.csv
test;Cars;00469;Cars/13-13p;Cars/13-13p/132.csv
test;Cars;00474;Cars/13-13p;Cars/13-13p/137.csv
test;Cars;00477;Cars/13-13p;Cars/13-13p/140.csv
